STATE,FSCS ID,LIBRARY ID,LIBRARY NAME,ADDRESS,CITY,ZIP,LOCALE,REAP LOCALE,SERVICE AREA POPULATION,UNDUPLICATED POPULATION,CENTRAL LIBRARIES,BRANCH LIBRARIES,BOOKMOBILES,MLS LIBRARIAN STAFF,LIBRARIAN STAFF,OTHER STAFF,TOTAL STAFF,LOCAL REVENUE,STATE REVENUE,FEDERAL REVENUE,OTHER REVENUE,TOTAL REVENUE,SALARIES,BENEFITS,TOTAL STAFF EXPENDITURES,PRINT EXPENDITURES,ELECTRONIC EXPENDITURES,OTHER COLLECTION EXPENDITURES,TOTAL COLLECTION EXPENDITURES,OTHER EXPENDITURES,TOTAL EXPENDITURES,LOCAL CAPITAL REVENUE,STATE CAPITAL REVENUE,FEDERAL CAPITAL REVENUE,OTHER CAPITAL REVENUE,TOTAL CAPITAL REVENUE,CAPITAL EXPENDITURES,PRINT MATERIALS,EBOOKS,AUDIO MATERIALS,AUDIO DOWNLOADS,VIDEO MATERIALS,VIDEO DOWNLOADS,LOCAL DATABASES,STATE DATABASES,TOTAL DATABASES,PRINT SERIALS,HOURS,VISITS,REFERENCES,USERS,TOTAL CIRCULATION,KIDS CIRCULATION,ELECTRONIC CIRCULATION,PHYSICAL ITEM CIRCULATION,ELECTRONIC INFO RETRIEVALS,ELECTRONIC CONTENT USES,TOTAL CIRCULATION & RETRIEVALS,LOANS TO,LOANS FROM,TOTAL PROGRAMS,KIDS PROGRAMS,YA PROGRAMS,PROGRAM AUDIENCE,KIDS PROGRAM AUDIENCE,YA PROGRAM AUDIENCE,COMPUTERS,COMPUTER USES,WIFI SESSIONS,YEAR,START DATE,END DATE,REPORTING STATUS,BEA REGION,STRUCTURE CHANGE,NAME CHANGE,ADDRESS CHANGE,INTERLIBRARY RELATIONSHIP,MAILING ADDRESS,MAILING CITY,MAILING ZIP,PHONE,COUNTY,COUNTY POPULATION,LEGAL BASIS,ADMINISTRATIVE STRUCTURE,FSCS DEFINITION,LSABOUND,INCITS STATE CODE,INCITS COUNTY CODE,GNIS ID,CENSUS TRACT,CENSUS BLOCK,CONGRESSIONAL DISTRICT,CBSA,METRO/MICRO AREA,ADDRESS MATCH TYPE,ESRI MATCH STATUS,GEOGRAPHIC CODE,GEOCODE SCORE,LONGITUDE
CA,CA0051,M647,KERN COUNTY LIBRARY,701 TRUXTUN AVE.,BAKERSFIELD,93301,11,1,"886,507","886,507",1,23,3,11,12,72.2,84.2,"6,966,804",0,"89,000","535,067","7,590,871","3,452,395","2,126,607","5,579,002","458,117","110,652","11,908","580,677","1,431,192","7,590,871.00",0,0,0,0,0,0,"787,002","83,671","36,534","2,409","24,344",0,25,0,25,278,"37,544","890,526","122,779","148,509","957,813","458,646","101,122","856,691","10,201","111,323","968,014","124,040","73,523","3,844","2,810",353,"68,496","56,143","3,308",252,"195,351",-1,2017,07/01/2015,06/30/2016,1,8,0,0,0,ME,701 TRUXTUN AVE.,BAKERSFIELD,93301,6618680700,KERN,"884,788",CO,MO,Y,N,6,29,3526,16,1121,623,12540,0,PointAddress,E,CO1,100,"(35.373214, -119.00943)"
MD,MD0003,MD0003,ENOCH PRATT FREE LIBRARY,400 CATHEDRAL STREET,BALTIMORE,21201,11,1,"622,104","622,104",1,21,2,97,120,280,400,"15,914,600","8,266,100","194,260","17,073,940","41,448,900","19,784,777","7,225,684","27,010,461","1,209,375","1,618,255","280,061","3,107,691","10,896,029","41,014,181.00","5,619,219.00",0,0,0,"5,619,219.00","1,676,700.00","1,974,698","48,969","62,723","29,074","58,289",0,60,9,69,"2,307","41,291","1,697,153","2,025,590","293,908","1,194,530","382,234","99,660","1,094,870","910,486","1,010,146","2,105,016","42,406","33,890","8,571","4,595","1,258","149,738","92,370","14,991",914,"315,963","762,358",2017,07/01/2015,06/30/2016,1,2,0,0,0,NO,400 CATHEDRAL STREET,BALTIMORE,21201,4103965395,BALTIMORE CITY,"614,664",CI,MO,Y,N,24,510,4000,401,2018,2407,12580,0,PointAddress,E,CI2,100,"(39.294539, -76.616867)"
LA,LA0055,FSCS4016,EAST BATON ROUGE PARISH,7711 GOODWOOD BOULEVARD,BATON ROUGE,70806,12,2,"447,037","444,945",1,13,3,111.5,324,78.25,402.25,"34,901,930",0,0,"335,608","35,237,538","14,556,295","7,163,112","21,719,407","2,281,214","2,594,465","764,463","5,640,142","11,563,027","38,922,576.00","8,950,940.00",0,0,0,"8,950,940.00","19,571,725.00","1,667,004","103,425","64,550","28,959","161,435","5,516",112,51,163,"2,770","48,464","2,455,899","861,525","294,505","2,729,254","573,653","478,835","2,250,419","1,356,091","1,834,926","4,085,345","7,623","2,294","22,608","7,492","3,595","457,177","84,561","55,243",723,"675,939","753,583",2017,01/01/2016,12/31/2016,1,5,0,0,0,NO,7711 GOODWOOD BOULEVARD,BATON ROUGE,70806,2252313700,EAST BATON ROUGE,"447,037",CO,MO,Y,N,22,33,5000,20,2005,2206,12940,0,PointAddress,E,CO1,100,"(30.442467, -91.106342)"
CA,CA0011,M607,BERKELEY PUBLIC LIBRARY,2090 KITTREDGE STREET,BERKELEY,94704,12,2,"119,915","119,915",1,4,0,32.3,32.3,80.7,113,"17,286,659","59,167",0,"372,823","17,718,649","7,806,034","5,238,162","13,044,196","735,393","364,107","202,886","1,302,386","1,992,211","16,338,793.00",0,0,0,"3,410.00","3,410.00","2,500.00","453,127","234,494","45,212","319,918","30,644",0,5,0,5,360,"13,624","1,350,858","235,720","115,376","2,043,562","422,489","203,580","1,839,982","20,923","224,503","2,064,485","93,787","92,582","3,176","1,341",522,"82,963","44,829","14,708",134,"169,571","84,758",2017,07/01/2015,06/30/2016,1,8,0,0,0,ME,2031 BANCROFT WAY,BERKELEY,94704,5109816195,ALAMEDA,"1,647,704",CI,MO,Y,N,6,1,6000,4229,2028,613,41860,0,PointAddress,E,CI1,100,"(37.868364, -122.268567)"
ID,ID0005,IDB,BOISE PUBLIC,715 S CAPITOL BLVD,BOISE,83702,12,2,"220,866","220,866",1,3,0,21,26,87.34,113.34,"11,781,841",0,0,"308,123","12,089,964","3,834,552","1,508,124","5,342,676","649,234","499,186",0,"1,148,420","3,973,925","10,465,021.00",0,0,0,0,0,"4,691,674.00","314,890","19,328","26,740","12,126","25,778",316,24,51,75,440,"11,232","1,434,112","231,943","127,856","2,388,649","845,990","364,193","2,024,456","1,440,203","1,804,396","3,828,852","2,108","2,173","3,721","1,760",329,"98,976","66,481","5,915",166,"177,193",-1,2017,10/01/2015,09/30/2016,2,7,0,0,0,ME,715 S CAPITOL BLVD,BOISE,83702,2089728258,ADA,"444,028",CI,MO,Y,N,16,1,8830,1,2051,1602,14260,0,PointAddress,E,CI1,100,"(43.610011, -116.207174)"
ID,ID0006,IDBC,ADA COUNTY DISTRICT,10664 W VICTORY RD,BOISE,83709,21,4,"51,377","51,377",0,4,0,10.4,10.4,28.73,39.13,"1,898,417","90,712","23,530","628,696","2,641,355","1,427,750","412,600","1,840,350","142,182","51,595","8,355","202,132","543,116","2,585,598.00",0,0,0,0,0,"14,974.00","147,171","3,969","13,240","8,114","21,102","7,915",6,51,57,149,"10,816","332,553","44,299","27,940","613,748","399,257","26,604","587,144",254,"26,858","614,002",337,436,"3,155","1,946",702,"66,021","57,921","3,571",96,"113,335","51,012",2017,10/01/2015,09/30/2016,1,7,0,0,0,ME,10664 W VICTORY RD,BOISE,83709,2083620181,ADA,"444,028",LD,MO,Y,N,16,1,M,22.21,1000,1601,14260,0,PointAddress,E,OTH,100,"(43.575736, -116.31483)"
MA,MA0035,BOSTON,BOSTON PUBLIC LIBRARY,700 BOYLSTON STREET,BOSTON,2116,11,1,"645,966","641,332",1,25,0,141.38,147.33,271.15,418.48,"34,092,573","1,099,688",0,"6,228,077","41,420,338","24,203,667","318,437","24,522,104","2,251,559","1,723,799","371,996","4,347,354","13,154,857","42,024,315.00","36,380,081.00",0,0,0,"36,380,081.00","1,485,354.00","7,997,591","95,927","35,220","32,343","68,272",224,190,60,250,"2,107","52,476","3,540,693","517,313","149,106","4,792,249","1,431,117","1,185,055","3,598,539","371,019","1,556,074","5,154,613","11,642","7,626","15,745","8,764","1,156","228,959","141,438","8,764",585,"572,000","454,163",2017,07/01/2015,06/30/2016,2,1,0,0,0,ME,700 BOYLSTON STREET,BOSTON,2116,6175365400,SUFFOLK,"784,230",NP,MO,Y,N,25,25,7000,106,1006,2507,14460,0,StreetAddress,E,CI1,100,"(42.349528, -71.079283)"
NY,NY0005,800000000,BUFFALO AND ERIE COUNTY PUBLIC LIBRARY,1 LAFAYETTE SQUARE,BUFFALO,14203,11,1,"919,040","911,925",1,8,1,45.14,57.39,168.11,225.5,"24,414,277","3,275,342","64,909","1,126,711","28,881,239","8,709,396","4,453,214","13,162,610","381,489","338,476","226,998","946,963","12,675,415","26,784,988.00",0,0,0,"207,686.00","207,686.00","304,621.00","1,920,444","44,784","103,946","8,900","81,042",99,46,10,56,866,"19,759","937,611","180,936","78,694","3,002,670","520,715","552,201","2,450,469","518,059","1,070,260","3,520,729","1,616","4,639","2,443",717,131,"55,701","12,403","2,442",385,"356,167","474,652",2017,01/01/2016,12/31/2016,1,2,0,0,0,HQ,1 LAFAYETTE SQUARE,BUFFALO,14203,7168588900,ERIE,"921,046",CO,MO,Y,N,36,29,11000,165,1074,3626,15380,0,StreetAddress,E,CO1,100,"(42.885366, -78.873364)"
AZ,AZ0031,AE-CHANDLER,CHANDLER PUBLIC LIBRARY,22 SOUTH DELAWARE STREET,CHANDLER,85225,21,3,"250,547","158,811",1,3,0,21,23,52.5,75.5,"5,913,516","12,356","3,000","180,000","6,108,872","3,214,349","1,739,226","4,953,575","124,441","405,523","76,333","606,297","549,000","6,108,872.00","125,000.00",0,0,0,"125,000.00","52,084.00","322,273","506,182","18,991","1,696","20,738",0,20,33,53,"1,209","12,174","1,042,805","212,694","261,523","1,843,381","931,454","198,078","1,645,303","445,402","643,480","2,288,783",60,47,"5,116","2,197","1,099","145,149","87,644","34,141",284,"226,621","4,599,570",2017,07/01/2015,06/30/2016,1,6,0,14,15,NO,"MAIL STOP 601, P.O. BOX 4008",CHANDLER,85244,4807822800,MARICOPA,"4,242,997",CI,MO,Y,N,4,13,12000,5231.02,1005,409,38060,0,PointAddress,E,CI2,100,"(33.302638, -111.837526)"
NC,NC0045,C-MECKLENBURG,CHARLOTTE MECKLENBURG LIBRARY,310 N TRYON ST,CHARLOTTE,28202,11,1,"1,035,605","1,034,221",1,19,0,121,122,294.38,416.38,"34,674,473","606,135","122,424","2,995,019","38,398,051","18,725,792","6,839,184","25,564,976","2,107,567","977,447","370,909","3,455,923","9,411,711","38,432,610.00","2,226,202.00",0,0,0,"2,226,202.00","2,226,202.00","900,249","54,762","54,813","13,864","32,146",650,24,74,98,"1,865","62,576","3,391,653","1,181,215","929,722","6,307,027","2,823,442","883,089","5,423,938","1,820,141","2,703,230","8,127,168","3,786","2,392","24,985","17,385","3,989","388,417","305,758","47,293",912,"758,670","602,421",2017,07/01/2015,06/30/2016,1,5,0,0,0,NO,310 N TRYON ST,CHARLOTTE,28202,7044160612,MECKLENBURG,"1,054,835",OT,MO,Y,N,37,119,12000,1,4006,3712,16740,0,PointAddress,E,CO1,100,"(35.228967, -80.840485)"
VA,VA0017,VA0017,CHESAPEAKE PUBLIC LIBRARY,298 CEDAR ROAD,CHESAPEAKE,23322,21,3,"232,977","232,977",1,6,1,27.68,27.68,97.06,124.74,"9,012,072","179,496","119,961","464,630","9,776,159","4,724,573","1,572,639","6,297,212","509,687","108,142","239,916","857,745","1,779,582","8,934,539.00",0,0,0,0,0,"83,470.00","347,105","35,386","39,124","2,580","54,868",0,17,35,52,534,"22,364","1,124,284","142,489","186,336","2,061,870","610,741","107,114","1,954,756",-1,"107,114","2,061,870",101,226,"3,810","2,439",231,"64,031","47,410","2,156",326,"374,727","522,946",2017,07/01/2015,06/30/2016,1,5,0,0,0,NO,298 CEDAR ROAD,CHESAPEAKE,23322,7574107101,CHESAPEAKE,"237,940",CI,MO,Y,N,51,550,16000,210.05,2035,5104,47260,0,StreetAddress,E,CI1,100,"(36.714297, -76.247162)"
IL,IL0098,30108,CHICAGO PUBLIC LIBRARY,400 SOUTH STATE STREET,CHICAGO,60605,11,1,"2,695,598","2,711,217",1,76,0,288.06,288.06,503.44,791.5,"74,299,810","7,302,094","1,756,411","2,168,875","85,527,190","60,123,787","25,095,669","85,219,456","7,500,000",0,0,"7,500,000","19,604,789","112,324,245.00","9,044,804.00","2,980,310.00",0,0,"12,025,114.00","12,025,114.00","5,451,914","46,195","263,711","15,479","187,431",354,69,13,82,"7,880","199,784","9,438,150","65,245","1,120,929","10,181,253","3,793,890","913,253","9,268,048",-1,-1,-1,"7,821","5,598","11,961","8,714","3,247","150,215","132,701","17,514","2,508","2,586,291","3,616,930",2017,01/01/2015,12/31/2015,2,3,0,0,0,ME,400 SOUTH STATE STREET,CHICAGO,60605,3127474300,COOK,"5,203,499",CI,MO,Y,N,17,31,14000,8391,2025,1707,16980,0,StreetAddress,E,CI1,100,"(41.876843, -87.627682)"
CA,CA0023,M619,CHULA VISTA PUBLIC LIBRARY,365 F ST.,CHULA VISTA,91910,21,3,"265,070","265,070",1,2,0,14.7,16.2,24.2,40.4,"3,112,098","28,859",0,"568,381","3,709,338","2,147,947","1,015,085","3,163,032","71,910","62,780","16,183","150,873","193,762","3,507,667.00",0,0,0,"1,328,712.00","1,328,712.00","170,313.00","266,956","7,190","20,523",529,"20,523",0,10,0,10,139,"8,502","857,475","118,534","103,476","710,796","320,796","37,486","673,310","6,097","43,583","716,893",0,0,"1,762","1,285",166,"50,699","36,463","1,180",110,"111,352","55,808",2017,07/01/2015,06/30/2016,1,8,0,0,0,ME,365 F ST.,CHULA VISTA,91910,6196915069,SAN DIEGO,"3,317,749",CI,MO,Y,N,6,73,13392,124.02,1008,651,41740,0,StreetAddress,E,CI1,100,"(32.640544, -117.082607)"
OH,OH0049,149C,"CINCINNATI AND HAMILTON COUNTY, PL OF",800 VINE ST.,CINCINNATI,45202,11,1,"802,374","802,374",1,40,0,188.5,188.5,456.6,645.1,"16,300,929","38,149,422",0,"4,612,589","59,062,940","26,386,773","8,255,077","34,641,850","3,397,942","3,994,426","1,720,105","9,112,473","11,416,455","55,170,778.00",0,0,0,0,0,"628,953.00","4,936,677","5,889,477","362,864","383,338","532,412","41,477",116,73,189,"6,584","106,794","6,176,664","1,765,608","531,528","21,226,498","5,380,880","3,504,928","17,721,570","3,843,790","7,348,718","25,070,288","80,607","79,896","17,468","11,291","1,883","417,016","308,778","26,585",856,"1,530,275","599,805",2017,01/01/2016,12/31/2016,1,3,0,0,0,NO,800 VINE ST.,CINCINNATI,45202,5133696900,HAMILTON,"809,099",CO,MO,Y,N,39,61,15000,7,3021,3901,17140,0,PointAddress,E,CO1,100,"(39.105228, -84.513948)"
OH,OH0057,157C,COLUMBUS METROPOLITAN LIBRARY,96 S. GRANT AVENUE,COLUMBUS,43215,11,1,"850,548","850,548",1,23,2,115,115,573,688,"46,034,928","21,011,765",0,"7,273,437","74,320,130","29,231,892","7,676,496","36,908,388","4,375,177","2,067,529","1,332,680","7,775,386","16,209,221","60,892,995.00",0,0,0,"11,442,997.00","11,442,997.00","51,139,613.00","1,322,171","181,830","93,276","379,863","60,617","29,830",65,73,138,"3,241","76,874","5,317,000","1,486,992","627,380","16,094,874","6,401,556","1,628,990","14,465,884","2,430,127","4,059,117","18,525,001","436,127","1,058,220","7,960","5,814","1,674","200,785","168,662","20,451","1,141","1,521,379","285,616",2017,01/01/2016,12/31/2016,1,3,0,0,0,NO,96 S. GRANT AVENUE,COLUMBUS,43215,6148491265,FRANKLIN,"1,264,518",CO,MA,Y,N,39,49,18000,40,2020,3903,18140,0,PointAddress,E,CO1,100,"(39.960837, -82.990546)"
